# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	down	2.269269e-02	7.914260e-01	3.721312e-01
1000          	up	7.133899e-01	1.369974e+02	2.444716e+01
2000          	down	2.269636e-02	7.914254e-01	3.721011e-01
2000          	up	7.140981e-01	1.369984e+02	2.444734e+01
3000          	down	2.269631e-02	7.914254e-01	3.721021e-01
3000          	up	7.260188e-01	1.369985e+02	2.444755e+01
4000          	down	2.269581e-02	7.914255e-01	3.721022e-01
4000          	up	7.117793e-01	1.369983e+02	2.444696e+01
5000          	down	2.269585e-02	7.914254e-01	3.721022e-01
5000          	up	7.072816e-01	1.369983e+02	2.444616e+01
